entity,year,schizophrenia,bipolar_disorder,eating_disorder,anxiety_disorder,substance_use_disorder,depression,alcohol_use_disorder
Oceania,2008,0.21208,0.419869,0.104624,3.198514,0.722204,3.176988,1.175739
Oman,2008,0.201548,0.789773,0.262843,4.697933,1.44906,3.471604,0.670062
Pakistan,2008,0.255835,0.571058,0.141445,3.792702,0.676407,3.377914,1.477508
Palestine,2008,0.186723,0.820928,0.13321,4.965275,1.457981,4.909308,0.640487
Panama,2008,0.208358,0.806191,0.271468,2.86924,0.709137,2.661105,1.378073
Papua New Guinea,2008,0.205322,0.410231,0.096355,3.18058,0.717777,3.184646,1.197038
Paraguay,2008,0.19914,1.070391,0.216221,5.987616,0.527694,2.909553,2.281606
Peru,2008,0.200026,0.888204,0.345575,4.252403,0.591492,2.276288,1.486434
Philippines,2008,0.218167,0.531433,0.119599,3.244205,0.623479,2.718874,0.887098
Poland,2008,0.203692,0.708097,0.204831,3.45686,0.826505,2.279985,1.998884
Portugal,2008,0.248821,0.9226,0.495106,5.364204,0.680296,4.795229,1.296875
Puerto Rico,2008,0.21259,0.94183,0.413065,4.695654,1.17177,2.738188,1.777734
Qatar,2008,0.214775,0.823391,0.318032,4.394091,1.753505,3.551997,0.724053
Romania,2008,0.197356,0.749117,0.176791,3.233547,0.446729,2.334845,1.748436
Russia,2008,0.19325,0.673295,0.208899,2.94843,1.033767,3.726029,5.3038
Rwanda,2008,0.159198,0.620641,0.100459,3.663462,0.57936,3.906977,2.333829
Saint Lucia,2008,0.199119,0.903744,0.276259,4.599094,0.911342,2.824889,1.878927
Saint Vincent and the Grenadines,2008,0.195213,0.878259,0.260962,4.517365,0.799455,2.838141,2.164415
Samoa,2008,0.234201,0.460212,0.122465,3.251332,0.85479,3.074132,1.093038
Sao Tome and Principe,2008,0.176217,0.660863,0.123819,2.915052,0.465901,3.112819,0.994505
Saudi Arabia,2008,0.203209,0.813481,0.265814,4.740018,1.494928,3.479896,0.666709
Scotland,2008,0.23353,0.94241,0.464536,4.735446,1.900663,4.122725,3.126243
Senegal,2008,0.171665,0.645951,0.119744,2.891063,0.463835,3.277006,0.912367
Serbia,2008,0.19731,0.695355,0.171589,3.404653,0.458344,2.619175,2.006558
Seychelles,2008,0.242758,0.56649,0.181926,3.323377,0.78461,2.910089,0.857044
Sierra Leone,2008,0.16313,0.622977,0.100123,2.881973,0.474104,3.588203,0.924675
Singapore,2008,0.27257,0.731485,0.491488,3.703338,0.899624,3.434851,0.470369
Slovakia,2008,0.205529,0.709835,0.211515,3.449877,0.705145,2.44377,2.388237
Slovenia,2008,0.210895,0.723903,0.230855,3.461681,0.905511,3.024947,2.214458
Solomon Islands,2008,0.208195,0.426762,0.087875,3.194642,0.680949,3.173184,1.126081
Somalia,2008,0.153233,0.617333,0.076963,3.525751,0.484947,3.773623,1.541024
South Africa,2008,0.180049,0.633793,0.20801,4.028786,1.063911,3.725575,1.630654
South Asia,2008,0.261231,0.559245,0.13074,3.438823,0.516599,3.714021,1.338319
South Korea,2008,0.262076,0.569538,0.384532,3.780056,0.880924,2.930153,2.093854
South Sudan,2008,0.168288,0.623417,0.133252,3.492097,0.490049,3.664608,1.550595
Southeast Asia,2008,0.224626,0.538515,0.125961,3.14936,0.620877,2.789398,0.887175
"Southeast Asia, East Asia, and Oceania",2008,0.297552,0.382663,0.125951,3.151064,0.909122,3.236751,1.126197
Southern Latin America,2008,0.197791,0.775695,0.372274,6.266762,1.002462,3.765888,2.087297
Southern Sub-Saharan Africa,2008,0.175688,0.628484,0.189831,3.826992,0.977543,3.671724,1.617853
Spain,2008,0.280144,0.976919,0.702688,5.21275,1.414858,3.416201,0.882636
Sri Lanka,2008,0.230904,0.566129,0.134149,3.351073,0.666132,3.485303,1.040652
Sub-Saharan Africa,2008,0.166521,0.62637,0.12157,3.285361,0.535543,3.833955,1.301398
Sudan,2008,0.173042,0.74251,0.130156,4.860351,1.279502,3.786998,0.641441
Suriname,2008,0.184766,0.864316,0.279361,4.528493,0.686334,4.003285,1.76562
Swaziland,2008,0.170571,0.606007,0.182063,3.475027,0.779966,3.97949,1.734957
Sweden,2008,0.279461,1.061045,0.536001,5.31508,0.625214,4.556682,1.8017
Switzerland,2008,0.261048,0.952114,0.561656,5.359066,1.069256,3.826025,1.40029
Syria,2008,0.189156,0.807162,0.157919,4.936515,1.377073,3.532809,0.610526
Taiwan,2008,0.255607,0.352431,0.223849,3.44487,0.858188,3.02206,1.929191
Tajikistan,2008,0.179069,0.662944,0.105849,2.509882,0.446022,2.543658,2.250811
Tanzania,2008,0.161781,0.621652,0.11482,3.578021,0.505753,3.660712,1.529267
Thailand,2008,0.229636,0.540553,0.156639,3.314596,0.834454,3.115786,0.870122
Timor,2008,0.199504,0.500906,0.101161,3.213017,0.611572,3.161321,0.800977
Togo,2008,0.163418,0.62781,0.103543,2.900963,0.459085,3.653143,0.966104
Tonga,2008,0.234876,0.461899,0.121934,3.282587,0.745899,2.91703,1.110921
Trinidad and Tobago,2008,0.175582,0.896085,0.361892,4.619567,0.718238,3.340305,1.709994
Tropical Latin America,2008,0.203655,1.103549,0.255996,6.386379,0.998126,3.713844,2.691742
Tunisia,2008,0.19686,0.835693,0.187278,5.045102,1.568642,3.912735,0.64633
Turkey,2008,0.218471,0.844521,0.269779,3.90467,1.399382,3.816132,0.759104
Turkmenistan,2008,0.189196,0.663522,0.162219,2.556108,0.500503,2.846388,2.824629
Uganda,2008,0.157161,0.605914,0.107981,3.471669,0.532887,5.283417,1.288257
Ukraine,2008,0.189018,0.686025,0.160751,2.932059,0.658027,4.255071,4.966454
United Arab Emirates,2008,0.212683,0.803302,0.27168,4.2307,2.935356,2.896171,0.765193
United Kingdom,2008,0.25223,1.084667,0.533491,4.657663,1.761566,4.108739,1.852339
United States,2008,0.338901,0.653691,0.533768,6.801899,2.974336,4.776402,2.023935
United States Virgin Islands,2008,0.218954,0.936513,0.495381,4.730545,0.813868,2.911837,2.212074
Uruguay,2008,0.196688,0.777436,0.35348,6.279516,0.942012,3.505361,1.092824
Uzbekistan,2008,0.18405,0.665883,0.132591,2.546024,0.459495,2.897034,2.092888
Vanuatu,2008,0.214044,0.426164,0.102559,3.205362,0.673565,3.145485,1.194076
Venezuela,2008,0.203701,0.774557,0.272949,2.851054,0.609364,2.797125,1.347515
Vietnam,2008,0.237512,0.548168,0.109161,2.025459,0.657372,2.907162,1.648056
Wales,2008,0.251077,0.937631,0.491397,4.771868,1.602967,4.052144,1.62808
Western Europe,2008,0.260376,0.942345,0.562895,5.708416,1.181689,3.923038,1.407298
Western Sub-Saharan Africa,2008,0.172148,0.633915,0.127832,2.882248,0.47093,3.798017,0.951593
World,2008,0.254486,0.59077,0.1948,3.799581,0.90868,3.47521,1.452283
Yemen,2008,0.173272,0.734738,0.138244,4.837639,1.293243,4.017453,0.633496
Zambia,2008,0.161394,0.603007,0.12447,3.558051,0.496888,3.505341,1.629307
Zimbabwe,2008,0.156553,0.606656,0.119728,3.083928,0.739987,3.103491,1.502307
